"Source Table: ACSST1Y2017.S1501"

"UNIVERSE CONSTANTS"
"Estimate"

"Geographic Area Name","Percent bachelor's degree or higher","MoE"
"Alabama","25.5%","± 0.4%"
"Alaska","28.8%","± 1.2%"
"Arizona","29.4%","± 0.4%"
"Arkansas","23.4%","± 0.5%"
"California","33.6%","± 0.2%"
"Colorado","41.2%","± 0.4%"
"Connecticut","38.7%","± 0.5%"
"Delaware","31.5%","± 1.0%"
"District of Columbia","57.3%","± 1.2%"
"Florida","29.7%","± 0.2%"
"Georgia","30.9%","± 0.3%"
"Hawaii","32.9%","± 0.8%"
"Idaho","26.8%","± 0.7%"
"Illinois","34.4%","± 0.3%"
"Indiana","26.8%","± 0.4%"
"Iowa","28.9%","± 0.5%"
"Kansas","33.7%","± 0.4%"
"Kentucky","24.0%","± 0.5%"
"Louisiana","23.8%","± 0.4%"
"Maine","32.1%","± 0.8%"
"Maryland","39.7%","± 0.4%"
"Massachusetts","43.4%","± 0.4%"
"Michigan","29.1%","± 0.3%"
"Minnesota","36.1%","± 0.4%"
"Mississippi","21.9%","± 0.7%"
"Missouri","29.1%","± 0.4%"
"Montana","32.3%","± 0.9%"
"Nebraska","31.7%","± 0.6%"
"Nevada","24.9%","± 0.6%"
"New Hampshire","36.9%","± 0.8%"
"New Jersey","39.7%","± 0.3%"
"New Mexico","27.1%","± 0.7%"
"New York","36.0%","± 0.2%"
"North Carolina","31.3%","± 0.3%"
"North Dakota","30.7%","± 1.1%"
"Ohio","28.0%","± 0.3%"
"Oklahoma","25.5%","± 0.4%"
"Oregon","33.7%","± 0.4%"
"Pennsylvania","31.4%","± 0.2%"
"Rhode Island","33.5%","± 0.8%"
"South Carolina","28.0%","± 0.4%"
"South Dakota","28.1%","± 0.9%"
"Tennessee","27.3%","± 0.4%"
"Texas","29.6%","± 0.2%"
"Utah","34.6%","± 0.6%"
"Vermont","38.3%","± 1.3%"
"Virginia","38.7%","± 0.4%"
"Washington","35.5%","± 0.4%"
"West Virginia","20.2%","± 0.6%"
"Wisconsin","30.4%","± 0.4%"
"Wyoming","27.6%","± 1.2%"
