"Source Table: ACSST5Y2020.S1501"

"UNIVERSE CONSTANTS"
"Percent ➡ AGE BY EDUCATIONAL ATTAINMENT ➡ Population 25 years and over"

"Geographic Area Name","Bachelor's degree or higher","MoE"
"Alabama","26.2%","± 0.3%"
"Alaska","30.0%","± 0.5%"
"Arizona","30.3%","± 0.2%"
"Arkansas","23.8%","± 0.3%"
"California","34.7%","± 0.1%"
"Colorado","41.6%","± 0.3%"
"Connecticut","40.0%","± 0.3%"
"Delaware","32.7%","± 0.6%"
"District of Columbia","59.8%","± 0.6%"
"Florida","30.5%","± 0.2%"
"Georgia","32.2%","± 0.2%"
"Hawaii","33.6%","± 0.3%"
"Idaho","28.7%","± 0.4%"
"Illinois","35.5%","± 0.2%"
"Indiana","27.2%","± 0.2%"
"Iowa","29.3%","± 0.3%"
"Kansas","33.9%","± 0.3%"
"Kentucky","25.0%","± 0.2%"
"Louisiana","24.9%","± 0.3%"
"Maine","32.5%","± 0.4%"
"Maryland","40.9%","± 0.3%"
"Massachusetts","44.5%","± 0.3%"
"Michigan","30.0%","± 0.2%"
"Minnesota","36.8%","± 0.2%"
"Mississippi","22.8%","± 0.3%"
"Missouri","29.9%","± 0.2%"
"Montana","33.1%","± 0.4%"
"Nebraska","32.5%","± 0.3%"
"Nevada","25.5%","± 0.3%"
"New Hampshire","37.6%","± 0.4%"
"New Jersey","40.7%","± 0.2%"
"New Mexico","28.1%","± 0.4%"
"New York","37.5%","± 0.2%"
"North Carolina","32.0%","± 0.2%"
"North Dakota","30.7%","± 0.5%"
"Ohio","28.9%","± 0.2%"
"Oklahoma","26.1%","± 0.2%"
"Oregon","34.4%","± 0.3%"
"Pennsylvania","32.3%","± 0.2%"
"Rhode Island","35.0%","± 0.5%"
"South Carolina","29.0%","± 0.2%"
"South Dakota","29.3%","± 0.5%"
"Tennessee","28.2%","± 0.2%"
"Texas","30.7%","± 0.2%"
"Utah","34.7%","± 0.3%"
"Vermont","39.7%","± 0.7%"
"Virginia","39.5%","± 0.3%"
"Washington","36.7%","± 0.2%"
"West Virginia","21.3%","± 0.3%"
"Wisconsin","30.8%","± 0.2%"
"Wyoming","28.2%","± 0.5%"
