"Source Table: ACSST1Y2024.S1501"

"UNIVERSE CONSTANTS"
"Percent ➡ AGE BY EDUCATIONAL ATTAINMENT ➡ Population 25 years and over"

"Geographic Area Name","Bachelor's degree or higher","MoE"
"Alabama","29.9%","± 0.4%"
"Alaska","32.8%","± 1.1%"
"Arizona","34.7%","± 0.4%"
"Arkansas","27.1%","± 0.6%"
"California","38.1%","± 0.2%"
"Colorado","47.8%","± 0.4%"
"Connecticut","42.6%","± 0.6%"
"Delaware","36.0%","± 1.0%"
"District of Columbia","65.5%","± 1.5%"
"Florida","35.8%","± 0.2%"
"Georgia","36.3%","± 0.4%"
"Hawaii","37.8%","± 1.0%"
"Idaho","33.0%","± 0.7%"
"Illinois","39.2%","± 0.3%"
"Indiana","30.7%","± 0.5%"
"Iowa","32.1%","± 0.6%"
"Kansas","36.0%","± 0.6%"
"Kentucky","27.9%","± 0.5%"
"Louisiana","27.8%","± 0.5%"
"Maine","37.1%","± 0.8%"
"Maryland","44.7%","± 0.4%"
"Massachusetts","48.3%","± 0.4%"
"Michigan","33.3%","± 0.3%"
"Minnesota","40.0%","± 0.4%"
"Mississippi","27.0%","± 0.6%"
"Missouri","33.5%","± 0.4%"
"Montana","36.3%","± 1.0%"
"Nebraska","35.4%","± 0.7%"
"Nevada","28.5%","± 0.6%"
"New Hampshire","41.5%","± 0.8%"
"New Jersey","44.5%","± 0.4%"
"New Mexico","31.8%","± 0.7%"
"New York","41.2%","± 0.3%"
"North Carolina","37.1%","± 0.4%"
"North Dakota","34.0%","± 1.1%"
"Ohio","32.4%","± 0.3%"
"Oklahoma","29.3%","± 0.4%"
"Oregon","37.8%","± 0.5%"
"Pennsylvania","36.4%","± 0.3%"
"Rhode Island","39.0%","± 1.1%"
"South Carolina","33.3%","± 0.5%"
"South Dakota","34.2%","± 1.1%"
"Tennessee","32.4%","± 0.4%"
"Texas","35.2%","± 0.2%"
"Utah","39.1%","± 0.7%"
"Vermont","45.1%","± 1.4%"
"Virginia","43.3%","± 0.4%"
"Washington","41.0%","± 0.4%"
"West Virginia","24.4%","± 0.7%"
"Wisconsin","34.6%","± 0.3%"
"Wyoming","32.3%","± 1.6%"
