"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","332,387,540","*****","332,387,540","(X)","5,054,253","*****","5,054,253","(X)","733,971","*****","733,971","(X)","7,268,175","*****","7,268,175","(X)","3,032,651","*****","3,032,651","(X)","39,242,785","*****","39,242,785","(X)","5,810,774","*****","5,810,774","(X)","3,598,348","*****","3,598,348","(X)","1,005,872","*****","1,005,872","(X)","672,079","*****","672,079","(X)","21,928,881","*****","21,928,881","(X)","10,822,590","*****","10,822,590","(X)","1,445,635","*****","1,445,635","(X)","1,893,296","*****","1,893,296","(X)","12,692,653","*****","12,692,653","(X)","6,811,752","*****","6,811,752","(X)","3,195,937","*****","3,195,937","(X)","2,937,569","*****","2,937,569","(X)","4,510,725","*****","4,510,725","(X)","4,621,025","*****","4,621,025","(X)","1,377,400","*****","1,377,400","(X)","6,170,738","*****","6,170,738","(X)","6,992,395","*****","6,992,395","(X)","10,051,595","*****","10,051,595","(X)","5,713,716","*****","5,713,716","(X)","2,951,438","*****","2,951,438","(X)","6,168,181","*****","6,168,181","(X)","1,105,072","*****","1,105,072","(X)","1,965,926","*****","1,965,926","(X)","3,141,000","*****","3,141,000","(X)","1,387,834","*****","1,387,834","(X)","9,267,014","*****","9,267,014","(X)","2,114,768","*****","2,114,768","(X)","19,872,319","*****","19,872,319","(X)","10,584,340","*****","10,584,340","(X)","779,361","*****","779,361","(X)","11,780,046","*****","11,780,046","(X)","3,995,260","*****","3,995,260","(X)","4,238,714","*****","4,238,714","(X)","12,986,518","*****","12,986,518","(X)","1,095,371","*****","1,095,371","(X)","5,212,774","*****","5,212,774","(X)","899,194","*****","899,194","(X)","6,986,082","*****","6,986,082","(X)","29,640,343","*****","29,640,343","(X)","3,331,187","*****","3,331,187","(X)","645,254","*****","645,254","(X)","8,657,499","*****","8,657,499","(X)","7,740,984","*****","7,740,984","(X)","1,784,462","*****","1,784,462","(X)","5,892,023","*****","5,892,023","(X)","579,761","*****","579,761","(X)","3,254,885","*****","3,254,885","(X)"
"        Male","164,545,087","±6,966","49.5%","±0.1","2,453,419","±1,365","48.5%","±0.1","385,319","±512","52.5%","±0.1","3,628,694","±490","49.9%","±0.1","1,495,958","±1,129","49.3%","±0.1","19,605,882","±1,332","50.0%","±0.1","2,942,568","±882","50.6%","±0.1","1,765,117","±367","49.1%","±0.1","487,585","±171","48.5%","±0.1","320,001","±95","47.6%","±0.1","10,773,620","±1,506","49.1%","±0.1","5,281,762","±2,040","48.8%","±0.1","727,473","±169","50.3%","±0.1","952,080","±735","50.3%","±0.1","6,270,399","±1,066","49.4%","±0.1","3,377,011","±1,297","49.6%","±0.1","1,601,453","±932","50.1%","±0.1","1,473,655","±920","50.2%","±0.1","2,233,870","±1,262","49.5%","±0.1","2,262,822","±1,006","49.0%","±0.1","678,363","±464","49.2%","±0.1","3,002,079","±703","48.7%","±0.1","3,416,765","±736","48.9%","±0.1","4,982,079","±820","49.6%","±0.1","2,862,134","±841","50.1%","±0.1","1,431,521","±1,333","48.5%","±0.1","3,040,690","±1,113","49.3%","±0.1","560,035","±651","50.7%","±0.1","987,506","±825","50.2%","±0.1","1,582,476","±588","50.4%","±0.1","692,568","±467","49.9%","±0.1","4,558,671","±425","49.2%","±0.1","1,050,368","±870","49.7%","±0.1","9,702,417","±984","48.8%","±0.1","5,177,887","±1,414","48.9%","±0.1","399,126","±807","51.2%","±0.1","5,809,077","±1,299","49.3%","±0.1","1,988,686","±665","49.8%","±0.1","2,113,849","±981","49.9%","±0.1","6,400,912","±830","49.3%","±0.1","537,173","±415","49.0%","±0.1","2,537,456","±1,071","48.7%","±0.1","455,597","±911","50.7%","±0.1","3,428,050","±1,431","49.1%","±0.1","14,789,987","±2,328","49.9%","±0.1","1,686,562","±710","50.6%","±0.1","320,321","±368","49.6%","±0.1","4,278,490","±1,565","49.4%","±0.1","3,898,212","±675","50.4%","±0.1","890,156","±830","49.9%","±0.1","2,950,540","±698","50.1%","±0.1","296,646","±703","51.2%","±0.1","1,540,987","±688","47.3%","±0.1"
"        Female","167,842,453","±7,054","50.5%","±0.1","2,600,834","±1,366","51.5%","±0.1","348,652","±512","47.5%","±0.1","3,639,481","±490","50.1%","±0.1","1,536,693","±1,129","50.7%","±0.1","19,636,903","±1,332","50.0%","±0.1","2,868,206","±882","49.4%","±0.1","1,833,231","±367","50.9%","±0.1","518,287","±171","51.5%","±0.1","352,078","±95","52.4%","±0.1","11,155,261","±1,506","50.9%","±0.1","5,540,828","±2,040","51.2%","±0.1","718,162","±169","49.7%","±0.1","941,216","±734","49.7%","±0.1","6,422,254","±1,065","50.6%","±0.1","3,434,741","±1,297","50.4%","±0.1","1,594,484","±935","49.9%","±0.1","1,463,914","±922","49.8%","±0.1","2,276,855","±1,261","50.5%","±0.1","2,358,203","±1,007","51.0%","±0.1","699,037","±465","50.8%","±0.1","3,168,659","±703","51.3%","±0.1","3,575,630","±736","51.1%","±0.1","5,069,516","±819","50.4%","±0.1","2,851,582","±842","49.9%","±0.1","1,519,917","±1,334","51.5%","±0.1","3,127,491","±1,116","50.7%","±0.1","545,037","±649","49.3%","±0.1","978,420","±827","49.8%","±0.1","1,558,524","±588","49.6%","±0.1","695,266","±467","50.1%","±0.1","4,708,343","±425","50.8%","±0.1","1,064,400","±870","50.3%","±0.1","10,169,902","±985","51.2%","±0.1","5,406,453","±1,415","51.1%","±0.1","380,235","±808","48.8%","±0.1","5,970,969","±1,300","50.7%","±0.1","2,006,574","±665","50.2%","±0.1","2,124,865","±980","50.1%","±0.1","6,585,606","±830","50.7%","±0.1","558,198","±415","51.0%","±0.1","2,675,318","±1,071","51.3%","±0.1","443,597","±912","49.3%","±0.1","3,558,032","±1,431","50.9%","±0.1","14,850,356","±2,328","50.1%","±0.1","1,644,625","±710","49.4%","±0.1","324,933","±368","50.4%","±0.1","4,379,009","±1,565","50.6%","±0.1","3,842,772","±675","49.6%","±0.1","894,306","±831","50.1%","±0.1","2,941,483","±701","49.9%","±0.1","283,115","±703","48.8%","±0.1","1,713,898","±688","52.7%","±0.1"
"        Sex ratio (males per 100 females)","98.0","±0.1","(X)","(X)","94.3","±0.1","(X)","(X)","110.5","±0.3","(X)","(X)","99.7","±0.1","(X)","(X)","97.3","±0.1","(X)","(X)","99.8","±0.1","(X)","(X)","102.6","±0.1","(X)","(X)","96.3","±0.1","(X)","(X)","94.1","±0.1","(X)","(X)","90.9","±0.1","(X)","(X)","96.6","±0.1","(X)","(X)","95.3","±0.1","(X)","(X)","101.3","±0.1","(X)","(X)","101.2","±0.2","(X)","(X)","97.6","±0.1","(X)","(X)","98.3","±0.1","(X)","(X)","100.4","±0.1","(X)","(X)","100.7","±0.1","(X)","(X)","98.1","±0.1","(X)","(X)","96.0","±0.1","(X)","(X)","97.0","±0.1","(X)","(X)","94.7","±0.1","(X)","(X)","95.6","±0.1","(X)","(X)","98.3","±0.1","(X)","(X)","100.4","±0.1","(X)","(X)","94.2","±0.2","(X)","(X)","97.2","±0.1","(X)","(X)","102.8","±0.2","(X)","(X)","100.9","±0.2","(X)","(X)","101.5","±0.1","(X)","(X)","99.6","±0.1","(X)","(X)","96.8","±0.1","(X)","(X)","98.7","±0.2","(X)","(X)","95.4","±0.1","(X)","(X)","95.8","±0.1","(X)","(X)","105.0","±0.4","(X)","(X)","97.3","±0.1","(X)","(X)","99.1","±0.1","(X)","(X)","99.5","±0.1","(X)","(X)","97.2","±0.1","(X)","(X)","96.2","±0.1","(X)","(X)","94.8","±0.1","(X)","(X)","102.7","±0.4","(X)","(X)","96.3","±0.1","(X)","(X)","99.6","±0.1","(X)","(X)","102.5","±0.1","(X)","(X)","98.6","±0.2","(X)","(X)","97.7","±0.1","(X)","(X)","101.4","±0.1","(X)","(X)","99.5","±0.2","(X)","(X)","100.3","±0.1","(X)","(X)","104.8","±0.5","(X)","(X)","89.9","±0.1","(X)","(X)"
"        Under 5 years","18,939,899","±4,355","5.7%","±0.1","294,417","±614","5.8%","±0.1","47,825","±167","6.5%","±0.1","399,499","±278","5.5%","±0.1","182,438","±578","6.0%","±0.1","2,214,141","±602","5.6%","±0.1","315,470","±586","5.4%","±0.1","181,240","±152","5.0%","±0.1","54,545","±46","5.4%","±0.1","40,916","±68","6.1%","±0.1","1,114,328","±613","5.1%","±0.1","639,111","±1,163","5.9%","±0.1","82,021","±119","5.7%","±0.1","113,266","±431","6.0%","±0.1","708,630","±501","5.6%","±0.1","411,823","±726","6.0%","±0.1","188,580","±631","5.9%","±0.1","179,460","±482","6.1%","±0.1","267,363","±632","5.9%","±0.1","289,071","±542","6.3%","±0.1","62,915","±276","4.6%","±0.1","359,340","±332","5.8%","±0.1","350,335","±207","5.0%","±0.1","549,541","±360","5.5%","±0.1","339,105","±394","5.9%","±0.1","177,145","±704","6.0%","±0.1","359,915","±670","5.8%","±0.1","58,832","±341","5.3%","±0.1","127,005","±328","6.5%","±0.1","176,957","±266","5.6%","±0.1","63,205","±170","4.6%","±0.1","526,400","±265","5.7%","±0.1","112,949","±572","5.3%","±0.1","1,102,961","±562","5.6%","±0.1","598,313","±714","5.7%","±0.1","51,372","±466","6.6%","±0.1","675,616","±566","5.7%","±0.1","247,646","±334","6.2%","±0.1","212,485","±503","5.0%","±0.1","685,379","±404","5.3%","±0.1","53,813","±164","4.9%","±0.1","287,868","±401","5.5%","±0.1","58,121","±393","6.5%","±0.1","409,675","±866","5.9%","±0.1","1,928,242","±1,026","6.5%","±0.1","238,146","±357","7.1%","±0.1","28,053","±184","4.3%","±0.1","495,281","±880","5.7%","±0.1","437,433","±354","5.7%","±0.1","89,308","±397","5.0%","±0.1","320,451","±386","5.4%","±0.1","31,948","±380","5.5%","±0.1","107,055","±121","3.3%","±0.1"
"        5 to 9 years","20,102,351","±31,638","6.0%","±0.1","304,608","±3,474","6.0%","±0.1","51,775","±1,111","7.1%","±0.2","437,862","±3,949","6.0%","±0.1","196,742","±2,772","6.5%","±0.1","2,353,684","±11,859","6.0%","±0.1","333,838","±3,281","5.7%","±0.1","195,390","±2,851","5.4%","±0.1","57,739","±1,713","5.7%","±0.2","35,464","±1,469","5.3%","±0.2","1,166,775","±8,679","5.3%","±0.1","690,203","±6,305","6.4%","±0.1","83,440","±1,590","5.8%","±0.1","127,950","±2,095","6.8%","±0.1","768,931","±5,665","6.1%","±0.1","438,092","±3,987","6.4%","±0.1","204,920","±2,388","6.4%","±0.1","195,343","±2,357","6.6%","±0.1","282,924","±3,390","6.3%","±0.1","296,986","±3,547","6.4%","±0.1","69,678","±1,593","5.1%","±0.1","378,243","±4,372","6.1%","±0.1","366,340","±3,911","5.2%","±0.1","588,114","±4,672","5.9%","±0.1","364,394","±3,321","6.4%","±0.1","181,999","±2,949","6.2%","±0.1","382,076","±3,405","6.2%","±0.1","65,227","±1,587","5.9%","±0.1","133,870","±1,801","6.8%","±0.1","189,979","±2,841","6.0%","±0.1","68,502","±1,600","4.9%","±0.1","552,385","±4,351","6.0%","±0.1","127,276","±2,291","6.0%","±0.1","1,102,946","±5,996","5.6%","±0.1","631,917","±5,491","6.0%","±0.1","52,229","±1,230","6.7%","±0.2","714,796","±5,478","6.1%","±0.1","267,650","±2,977","6.7%","±0.1","233,875","±2,767","5.5%","±0.1","730,120","±4,482","5.6%","±0.1","56,139","±1,701","5.1%","±0.2","310,674","±3,851","6.0%","±0.1","61,879","±1,352","6.9%","±0.2","425,838","±4,169","6.1%","±0.1","2,058,377","±12,012","6.9%","±0.1","262,749","±3,027","7.9%","±0.1","32,001","±984","5.0%","±0.2","518,139","±4,504","6.0%","±0.1","467,437","±3,580","6.0%","±0.1","98,043","±1,950","5.5%","±0.1","349,490","±2,704","5.9%","±0.1","37,303","±1,034","6.4%","±0.2","142,141","±2,306","4.4%","±0.1"
"        10 to 14 years","21,555,935","±32,844","6.5%","±0.1","330,927","±3,512","6.5%","±0.1","49,878","±1,110","6.8%","±0.2","469,948","±3,938","6.5%","±0.1","202,145","±2,578","6.7%","±0.1","2,609,537","±12,055","6.6%","±0.1","368,265","±3,371","6.3%","±0.1","217,297","±2,831","6.0%","±0.1","60,944","±1,707","6.1%","±0.2","33,210","±1,465","4.9%","±0.2","1,262,613","±8,745","5.8%","±0.1","752,386","±6,321","7.0%","±0.1","87,942","±1,583","6.1%","±0.1","137,977","±2,115","7.3%","±0.1","820,027","±5,722","6.5%","±0.1","462,851","±3,806","6.8%","±0.1","212,519","±2,364","6.6%","±0.1","205,839","±2,311","7.0%","±0.1","294,194","±3,417","6.5%","±0.1","317,011","±3,429","6.9%","±0.1","72,647","±1,600","5.3%","±0.1","398,147","±4,307","6.5%","±0.1","399,918","±3,880","5.7%","±0.1","625,828","±4,660","6.2%","±0.1","382,775","±3,289","6.7%","±0.1","208,058","±2,985","7.0%","±0.1","399,589","±3,491","6.5%","±0.1","69,420","±1,553","6.3%","±0.1","140,085","±1,764","7.1%","±0.1","204,608","±2,807","6.5%","±0.1","76,477","±1,577","5.5%","±0.1","589,316","±4,384","6.4%","±0.1","140,957","±2,241","6.7%","±0.1","1,191,697","±6,048","6.0%","±0.1","677,914","±5,335","6.4%","±0.1","52,194","±1,279","6.7%","±0.2","755,519","±5,268","6.4%","±0.1","281,541","±2,867","7.0%","±0.1","256,731","±2,737","6.1%","±0.1","779,359","±4,595","6.0%","±0.1","60,442","±1,687","5.5%","±0.2","328,945","±3,813","6.3%","±0.1","62,673","±1,366","7.0%","±0.2","449,622","±4,231","6.4%","±0.1","2,192,673","±11,914","7.4%","±0.1","275,054","±3,059","8.3%","±0.1","34,949","±960","5.4%","±0.1","549,817","±4,429","6.4%","±0.1","485,183","±3,680","6.3%","±0.1","106,720","±1,939","6.0%","±0.1","372,405","±2,677","6.3%","±0.1","39,162","±1,088","6.8%","±0.2","179,844","±2,320","5.5%","±0.1"
"        15 to 19 years","21,811,756","±8,213","6.6%","±0.1","341,851","±1,679","6.8%","±0.1","46,494","±880","6.3%","±0.1","481,492","±829","6.6%","±0.1","206,379","±1,304","6.8%","±0.1","2,577,397","±1,585","6.6%","±0.1","374,590","±1,240","6.4%","±0.1","238,145","±452","6.6%","±0.1","63,661","±140","6.3%","±0.1","33,530","±244","5.0%","±0.1","1,265,431","±1,504","5.8%","±0.1","761,260","±2,320","7.0%","±0.1","77,593","±265","5.4%","±0.1","144,704","±972","7.6%","±0.1","838,721","±914","6.6%","±0.1","473,339","±1,609","6.9%","±0.1","224,029","±983","7.0%","±0.1","209,922","±1,120","7.1%","±0.1","291,754","±1,350","6.5%","±0.1","302,709","±1,268","6.6%","±0.1","79,949","±423","5.8%","±0.1","394,608","±852","6.4%","±0.1","456,586","±1,021","6.5%","±0.1","653,056","±991","6.5%","±0.1","376,435","±1,033","6.6%","±0.1","212,817","±1,428","7.2%","±0.1","406,290","±1,509","6.6%","±0.1","68,196","±705","6.2%","±0.1","138,421","±730","7.0%","±0.1","190,206","±473","6.1%","±0.1","84,904","±528","6.1%","±0.1","585,215","±555","6.3%","±0.1","142,792","±1,028","6.8%","±0.1","1,221,503","±1,550","6.1%","±0.1","709,110","±1,929","6.7%","±0.1","52,874","±781","6.8%","±0.1","768,821","±1,640","6.5%","±0.1","277,742","±896","7.0%","±0.1","254,327","±1,045","6.0%","±0.1","838,847","±1,191","6.5%","±0.1","73,117","±459","6.7%","±0.1","343,045","±1,249","6.6%","±0.1","61,320","±735","6.8%","±0.1","444,195","±1,444","6.4%","±0.1","2,134,331","±2,666","7.2%","±0.1","273,616","±719","8.2%","±0.1","43,372","±599","6.7%","±0.1","570,684","±1,975","6.6%","±0.1","463,997","±859","6.0%","±0.1","110,839","±838","6.2%","±0.1","388,660","±828","6.6%","±0.1","38,880","±560","6.7%","±0.1","196,328","±758","6.0%","±0.1"
"        20 to 24 years","21,542,938","±8,479","6.5%","±0.1","334,148","±1,358","6.6%","±0.1","50,096","±608","6.8%","±0.1","488,741","±851","6.7%","±0.1","201,168","±1,346","6.6%","±0.1","2,546,828","±1,495","6.5%","±0.1","380,077","±1,177","6.5%","±0.1","233,423","±479","6.5%","±0.1","58,541","±160","5.8%","±0.1","44,553","±273","6.6%","±0.1","1,269,435","±1,600","5.8%","±0.1","726,570","±2,647","6.7%","±0.1","87,288","±382","6.0%","±0.1","125,080","±973","6.6%","±0.1","817,737","±1,008","6.4%","±0.1","466,343","±1,520","6.8%","±0.1","225,413","±988","7.1%","±0.1","213,712","±1,191","7.3%","±0.1","296,333","±1,162","6.6%","±0.1","304,994","±1,270","6.6%","±0.1","75,581","±502","5.5%","±0.1","367,587","±850","6.0%","±0.1","473,586","±962","6.8%","±0.1","667,604","±1,051","6.6%","±0.1","353,417","±1,077","6.2%","±0.1","201,121","±1,890","6.8%","±0.1","402,879","±1,362","6.5%","±0.1","73,062","±757","6.6%","±0.1","136,289","±821","6.9%","±0.1","183,169","±658","5.8%","±0.1","85,524","±452","6.2%","±0.1","554,478","±710","6.0%","±0.1","139,795","±1,076","6.6%","±0.1","1,257,074","±1,686","6.3%","±0.1","705,276","±1,808","6.7%","±0.1","61,543","±713","7.9%","±0.1","741,950","±1,358","6.3%","±0.1","279,356","±781","7.0%","±0.1","260,286","±1,033","6.1%","±0.1","799,667","±1,312","6.2%","±0.1","75,355","±548","6.9%","±0.1","331,868","±1,390","6.4%","±0.1","59,064","±856","6.6%","±0.1","451,219","±1,547","6.5%","±0.1","2,032,089","±2,453","6.9%","±0.1","278,538","±807","8.4%","±0.1","43,883","±651","6.8%","±0.1","564,663","±1,906","6.5%","±0.1","477,787","±946","6.2%","±0.1","110,350","±823","6.2%","±0.1","391,434","±984","6.6%","±0.1","36,964","±614","6.4%","±0.1","217,453","±755","6.7%","±0.1"
