state,abbr,recovery_months_predicted,recovery_months_low,recovery_months_high,instability_tier,prob_LOW,prob_MODERATE,prob_HIGH,prob_CRITICAL,drpi_score,drpi_risk_tier,avg_disaster_exposure_12m,avg_damage_per_capita,fiscal_capacity_per_capita,compound_vulnerability_index,cvi_labor,cvi_disaster,cvi_damage,cvi_fiscal,cvi_structure,avg_unemployment_rate,unemployment_volatility_excl_covid,baseline_unemployment,unemployment_shock_magnitude,service_share_pct,industry_share_pct,natres_share_pct,govt_share_pct,economic_profile,profile_benchmark_months,recovery_months,narrative,keywords
Maine,ME,16.6,10.2,23.0,MODERATE,0.286,0.451,0.14,0.123,41.9,MODERATE,47.9,11.7235,9878.0,0.4483,0.5668,0.3597,0.0181,0.7028,0.7178,4.7856,2.1187,2.96,6.24,64.59,14.59,1.33,11.99,Service-Dominated,16.2,5.0,"Maine received a DRPI score of 41.9 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 17 months following a major disaster event (90% prediction interval: 10–23 months). The state recorded an average FEMA disaster exposure of 47.9 declarations per 12-month window and average per-capita damage of $12. Its Compound Vulnerability Index (CVI) is 0.448 and fiscal capacity stands at $9,878 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +6.2 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (65% service sector share of GDP).","drpi-moderate, recovery-17mo, instability-moderate, service-dominated, cvi-0.45"
Washington,WA,18.1,11.7,24.5,HIGH,0.032,0.132,0.567,0.269,41.5,MODERATE,28.8111,28.446,9454.0,0.4279,0.5494,0.2114,0.0484,0.7365,0.7839,6.0711,2.075,4.12,12.38,67.06,13.66,1.27,11.79,Service-Dominated,16.2,17.0,"Washington received a DRPI score of 41.5 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 18 months following a major disaster event (90% prediction interval: 12–24 months). The state recorded an average FEMA disaster exposure of 28.8 declarations per 12-month window and average per-capita damage of $28. Its Compound Vulnerability Index (CVI) is 0.428 and fiscal capacity stands at $9,454 per capita. The labor instability classifier assigned a HIGH tier, based on an unemployment shock of +12.4 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (67% service sector share of GDP).","drpi-moderate, recovery-18mo, instability-high, service-dominated, cvi-0.43"
Vermont,VT,20.3,13.9,26.7,MODERATE,0.154,0.408,0.22,0.219,41.3,MODERATE,14.8056,175.9835,13974.0,0.3103,0.2724,0.1026,0.3156,0.3767,0.6463,3.6478,1.3801,2.08,11.92,61.92,13.99,1.74,13.78,Service-Dominated,16.2,18.0,"Vermont received a DRPI score of 41.3 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 20 months following a major disaster event (90% prediction interval: 14–27 months). The state recorded an average FEMA disaster exposure of 14.8 declarations per 12-month window and average per-capita damage of $176. Its Compound Vulnerability Index (CVI) is 0.310 and fiscal capacity stands at $13,974 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +11.9 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (62% service sector share of GDP).","drpi-moderate, recovery-20mo, instability-moderate, service-dominated, cvi-0.31"
Colorado,CO,17.1,10.7,23.5,HIGH,0.16,0.214,0.421,0.205,41.1,MODERATE,15.7944,105.1085,7635.0,0.4654,0.6672,0.1103,0.1872,0.8814,0.676,5.0456,2.3706,2.76,8.14,63.03,13.15,4.14,11.51,Resource-Intensive,14.4,24.0,"Colorado received a DRPI score of 41.1 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 17 months following a major disaster event (90% prediction interval: 11–24 months). The state recorded an average FEMA disaster exposure of 15.8 declarations per 12-month window and average per-capita damage of $105. Its Compound Vulnerability Index (CVI) is 0.465 and fiscal capacity stands at $7,635 per capita. The labor instability classifier assigned a HIGH tier, based on an unemployment shock of +8.1 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (63% service sector share of GDP).","drpi-moderate, recovery-17mo, instability-high, resource-intensive, cvi-0.47"
Connecticut,CT,18.8,12.4,25.2,MODERATE,0.287,0.55,0.118,0.045,38.6,MODERATE,9.9833,3.8529,10837.0,0.394,0.6371,0.0651,0.0038,0.6264,0.8244,5.9133,2.2953,3.64,4.16,68.57,16.28,0.19,9.44,Service-Dominated,16.2,24.0,"Connecticut received a DRPI score of 38.6 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 19 months following a major disaster event (90% prediction interval: 12–25 months). The state recorded an average FEMA disaster exposure of 10.0 declarations per 12-month window and average per-capita damage of $4. Its Compound Vulnerability Index (CVI) is 0.394 and fiscal capacity stands at $10,837 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +4.2 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (69% service sector share of GDP).","drpi-moderate, recovery-19mo, instability-moderate, service-dominated, cvi-0.39"
Massachusetts,MA,19.8,13.4,26.2,MODERATE,0.034,0.45,0.334,0.182,37.2,MODERATE,12.0222,6.4961,11732.0,0.3385,0.3983,0.081,0.0086,0.5552,0.891,5.2917,1.696,3.03,14.17,71.06,13.98,0.17,9.07,Service-Dominated,16.2,24.0,"Massachusetts received a DRPI score of 37.2 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 20 months following a major disaster event (90% prediction interval: 13–26 months). The state recorded an average FEMA disaster exposure of 12.0 declarations per 12-month window and average per-capita damage of $6. Its Compound Vulnerability Index (CVI) is 0.339 and fiscal capacity stands at $11,732 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +14.2 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (71% service sector share of GDP).","drpi-moderate, recovery-20mo, instability-moderate, service-dominated, cvi-0.34"
Virginia,VA,14.4,8.0,20.8,LOW,0.449,0.26,0.223,0.068,36.6,MODERATE,68.6833,8.1507,9695.0,0.4169,0.3073,0.5212,0.0116,0.7174,0.6659,4.3917,1.4676,2.7,8.3,62.65,13.66,0.65,17.03,Government-Intensive,18.0,18.0,"Virginia received a DRPI score of 36.6 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 14 months following a major disaster event (90% prediction interval: 8–21 months). The state recorded an average FEMA disaster exposure of 68.7 declarations per 12-month window and average per-capita damage of $8. Its Compound Vulnerability Index (CVI) is 0.417 and fiscal capacity stands at $9,695 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +8.3 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Government-Intensive (63% service sector share of GDP).","drpi-moderate, recovery-14mo, instability-low, government-intensive, cvi-0.42"
Delaware,DE,20.6,14.2,27.0,MODERATE,0.101,0.661,0.163,0.075,35.2,MODERATE,1.6,1.7331,13364.0,0.2969,0.3671,0.0,0.0,0.4252,0.9422,5.3678,1.6177,3.7,9.0,72.97,12.21,0.79,9.33,Service-Dominated,16.2,19.0,"Delaware received a DRPI score of 35.2 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 21 months following a major disaster event (90% prediction interval: 14–27 months). The state recorded an average FEMA disaster exposure of 1.6 declarations per 12-month window and average per-capita damage of $2. Its Compound Vulnerability Index (CVI) is 0.297 and fiscal capacity stands at $13,364 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +9.0 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (73% service sector share of GDP).","drpi-moderate, recovery-21mo, instability-moderate, service-dominated, cvi-0.30"
Minnesota,MN,15.7,9.3,22.1,LOW,0.604,0.306,0.074,0.016,33.9,MODERATE,44.0889,13.1893,10982.0,0.3688,0.3504,0.3301,0.0207,0.6149,0.6822,4.3056,1.5756,3.34,5.26,63.26,18.48,2.34,9.5,Service-Dominated,16.2,13.0,"Minnesota received a DRPI score of 33.9 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 44.1 declarations per 12-month window and average per-capita damage of $13. Its Compound Vulnerability Index (CVI) is 0.369 and fiscal capacity stands at $10,982 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +5.3 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (63% service sector share of GDP).","drpi-moderate, recovery-16mo, instability-low, service-dominated, cvi-0.37"
Arizona,AZ,16.4,10.0,22.8,HIGH,0.111,0.192,0.606,0.091,33.6,MODERATE,9.8667,37.0141,8046.0,0.4078,0.6046,0.0642,0.0639,0.8486,0.6701,6.1961,2.2138,4.77,8.43,62.81,16.44,1.87,11.26,Service-Dominated,16.2,16.0,"Arizona received a DRPI score of 33.6 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 10–23 months). The state recorded an average FEMA disaster exposure of 9.9 declarations per 12-month window and average per-capita damage of $37. Its Compound Vulnerability Index (CVI) is 0.408 and fiscal capacity stands at $8,046 per capita. The labor instability classifier assigned a HIGH tier, based on an unemployment shock of +8.4 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (63% service sector share of GDP).","drpi-moderate, recovery-16mo, instability-high, service-dominated, cvi-0.41"
Iowa,IA,14.1,7.7,20.5,LOW,0.752,0.132,0.065,0.051,33.5,MODERATE,50.3889,148.704,10067.0,0.3718,0.2162,0.379,0.2662,0.6877,0.4442,3.95,1.2389,2.67,8.03,54.37,22.96,5.6,10.73,Resource-Intensive,14.4,17.0,"Iowa received a DRPI score of 33.5 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 14 months following a major disaster event (90% prediction interval: 8–20 months). The state recorded an average FEMA disaster exposure of 50.4 declarations per 12-month window and average per-capita damage of $149. Its Compound Vulnerability Index (CVI) is 0.372 and fiscal capacity stands at $10,067 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +8.0 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (54% service sector share of GDP).","drpi-moderate, recovery-14mo, instability-low, resource-intensive, cvi-0.37"
Arkansas,AR,14.5,8.1,20.9,LOW,0.431,0.398,0.117,0.054,33.3,MODERATE,40.85,48.4854,9496.0,0.3935,0.469,0.3049,0.0847,0.7332,0.4876,5.0428,1.8732,3.58,6.02,55.99,21.05,2.81,12.1,Industry-Intensive,11.5,16.0,"Arkansas received a DRPI score of 33.3 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 14 months following a major disaster event (90% prediction interval: 8–21 months). The state recorded an average FEMA disaster exposure of 40.9 declarations per 12-month window and average per-capita damage of $48. Its Compound Vulnerability Index (CVI) is 0.394 and fiscal capacity stands at $9,496 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +6.0 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (56% service sector share of GDP).","drpi-moderate, recovery-14mo, instability-low, industry-intensive, cvi-0.39"
Idaho,ID,15.9,9.5,22.3,HIGH,0.128,0.167,0.613,0.092,33.1,MODERATE,11.6833,40.3981,8080.0,0.4054,0.6431,0.0783,0.07,0.8459,0.5609,4.7983,2.3103,2.82,8.68,58.73,17.17,5.26,11.65,Resource-Intensive,14.4,16.0,"Idaho received a DRPI score of 33.1 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 10–22 months). The state recorded an average FEMA disaster exposure of 11.7 declarations per 12-month window and average per-capita damage of $40. Its Compound Vulnerability Index (CVI) is 0.405 and fiscal capacity stands at $8,080 per capita. The labor instability classifier assigned a HIGH tier, based on an unemployment shock of +8.7 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (59% service sector share of GDP).","drpi-moderate, recovery-16mo, instability-high, resource-intensive, cvi-0.41"
Ohio,OH,15.7,9.3,22.1,HIGH,0.043,0.121,0.62,0.215,33.0,MODERATE,25.8889,9.4236,8437.0,0.3973,0.525,0.1887,0.0139,0.8175,0.6233,5.8872,2.0138,4.19,11.71,61.06,20.22,1.41,10.35,Industry-Intensive,11.5,17.0,"Ohio received a DRPI score of 33.0 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 25.9 declarations per 12-month window and average per-capita damage of $9. Its Compound Vulnerability Index (CVI) is 0.397 and fiscal capacity stands at $8,437 per capita. The labor instability classifier assigned a HIGH tier, based on an unemployment shock of +11.7 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (61% service sector share of GDP).","drpi-moderate, recovery-16mo, instability-high, industry-intensive, cvi-0.40"
Pennsylvania,PA,16.1,9.7,22.5,MODERATE,0.065,0.541,0.309,0.085,31.6,MODERATE,28.5556,6.2017,9676.0,0.3619,0.3663,0.2094,0.0081,0.7189,0.7237,5.8044,1.6157,4.36,10.74,64.81,16.72,2.05,9.14,Service-Dominated,16.2,18.0,"Pennsylvania received a DRPI score of 31.6 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 10–22 months). The state recorded an average FEMA disaster exposure of 28.6 declarations per 12-month window and average per-capita damage of $6. Its Compound Vulnerability Index (CVI) is 0.362 and fiscal capacity stands at $9,676 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +10.7 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (65% service sector share of GDP).","drpi-moderate, recovery-16mo, instability-moderate, service-dominated, cvi-0.36"
South Dakota,SD,13.0,6.6,19.4,LOW,0.503,0.213,0.218,0.066,31.5,MODERATE,48.75,166.5806,7513.0,0.4107,0.1283,0.3663,0.2986,0.8911,0.6246,3.1539,1.0183,2.65,6.15,61.11,13.41,8.84,10.49,Resource-Intensive,14.4,6.0,"South Dakota received a DRPI score of 31.5 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 13 months following a major disaster event (90% prediction interval: 7–19 months). The state recorded an average FEMA disaster exposure of 48.8 declarations per 12-month window and average per-capita damage of $167. Its Compound Vulnerability Index (CVI) is 0.411 and fiscal capacity stands at $7,513 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +6.2 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (61% service sector share of GDP).","drpi-moderate, recovery-13mo, instability-low, resource-intensive, cvi-0.41"
Wisconsin,WI,15.5,9.1,21.9,HIGH,0.068,0.249,0.516,0.167,30.2,MODERATE,18.3333,10.572,8762.0,0.3703,0.5351,0.13,0.016,0.7916,0.5475,4.7739,2.0392,3.22,10.78,58.23,22.83,1.79,10.46,Industry-Intensive,11.5,16.0,"Wisconsin received a DRPI score of 30.2 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 18.3 declarations per 12-month window and average per-capita damage of $11. Its Compound Vulnerability Index (CVI) is 0.370 and fiscal capacity stands at $8,762 per capita. The labor instability classifier assigned a HIGH tier, based on an unemployment shock of +10.8 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (58% service sector share of GDP).","drpi-moderate, recovery-16mo, instability-high, industry-intensive, cvi-0.37"
Kansas,KS,13.4,7.0,19.8,LOW,0.566,0.193,0.158,0.083,30.2,MODERATE,56.6167,35.0488,9753.0,0.3668,0.2675,0.4274,0.0603,0.7127,0.4942,4.3711,1.3677,3.12,8.68,56.24,20.65,3.81,12.27,Industry-Intensive,11.5,12.0,"Kansas received a DRPI score of 30.2 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 13 months following a major disaster event (90% prediction interval: 7–20 months). The state recorded an average FEMA disaster exposure of 56.6 declarations per 12-month window and average per-capita damage of $35. Its Compound Vulnerability Index (CVI) is 0.367 and fiscal capacity stands at $9,753 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +8.7 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (56% service sector share of GDP).","drpi-moderate, recovery-13mo, instability-low, industry-intensive, cvi-0.37"
Indiana,IN,14.7,8.3,21.1,CRITICAL,0.127,0.176,0.32,0.377,30.2,MODERATE,20.5667,4.7153,8356.0,0.3798,0.6736,0.1474,0.0054,0.824,0.3323,5.4689,2.3868,3.32,13.18,50.19,31.55,1.77,8.93,Industry-Intensive,11.5,16.0,"Indiana received a DRPI score of 30.2 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 15 months following a major disaster event (90% prediction interval: 8–21 months). The state recorded an average FEMA disaster exposure of 20.6 declarations per 12-month window and average per-capita damage of $5. Its Compound Vulnerability Index (CVI) is 0.380 and fiscal capacity stands at $8,356 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +13.2 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (50% service sector share of GDP).","drpi-moderate, recovery-15mo, instability-critical, industry-intensive, cvi-0.38"
New Mexico,NM,18.5,12.1,24.9,LOW,0.823,0.12,0.033,0.024,29.0,MODERATE,19.6667,44.604,18705.0,0.167,0.2857,0.1404,0.0776,0.0,0.2996,6.115,1.4134,5.1,3.3,48.97,9.61,11.28,22.88,Resource-Intensive,14.4,19.0,"New Mexico received a DRPI score of 29.0 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 18 months following a major disaster event (90% prediction interval: 12–25 months). The state recorded an average FEMA disaster exposure of 19.7 declarations per 12-month window and average per-capita damage of $45. Its Compound Vulnerability Index (CVI) is 0.167 and fiscal capacity stands at $18,705 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +3.3 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (49% service sector share of GDP).","drpi-moderate, recovery-18mo, instability-low, resource-intensive, cvi-0.17"
Oklahoma,OK,10.5,4.1,16.9,LOW,0.621,0.105,0.161,0.113,27.7,MODERATE,79.5056,73.4032,8839.0,0.377,0.1586,0.6052,0.1298,0.7855,0.2817,4.3856,1.0944,3.12,8.98,48.3,14.58,11.87,16.01,Resource-Intensive,14.4,17.0,"Oklahoma received a DRPI score of 27.7 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 10 months following a major disaster event (90% prediction interval: 4–17 months). The state recorded an average FEMA disaster exposure of 79.5 declarations per 12-month window and average per-capita damage of $73. Its Compound Vulnerability Index (CVI) is 0.377 and fiscal capacity stands at $8,839 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +9.0 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (48% service sector share of GDP).","drpi-moderate, recovery-10mo, instability-low, resource-intensive, cvi-0.38"
Maryland,MD,15.1,8.7,21.5,LOW,0.488,0.427,0.064,0.021,25.9,MODERATE,14.0667,3.6647,9688.0,0.3324,0.444,0.0969,0.0035,0.7179,0.5922,4.9783,1.8107,3.33,5.27,59.9,13.06,0.34,20.68,Government-Intensive,18.0,19.0,"Maryland received a DRPI score of 25.9 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 15 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 14.1 declarations per 12-month window and average per-capita damage of $4. Its Compound Vulnerability Index (CVI) is 0.332 and fiscal capacity stands at $9,688 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +5.3 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Government-Intensive (60% service sector share of GDP).","drpi-moderate, recovery-15mo, instability-low, government-intensive, cvi-0.33"
Utah,UT,15.4,9.0,21.8,MODERATE,0.254,0.614,0.091,0.042,25.5,MODERATE,9.0056,9.0338,9472.0,0.3263,0.434,0.0575,0.0132,0.7351,0.6035,3.9544,1.7856,2.49,7.31,60.32,19.87,2.27,10.85,Service-Dominated,16.2,13.0,"Utah received a DRPI score of 25.5 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 15 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 9.0 declarations per 12-month window and average per-capita damage of $9. Its Compound Vulnerability Index (CVI) is 0.326 and fiscal capacity stands at $9,472 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +7.3 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (60% service sector share of GDP).","drpi-moderate, recovery-15mo, instability-moderate, service-dominated, cvi-0.33"
New Hampshire,NH,15.4,9.0,21.8,MODERATE,0.02,0.498,0.276,0.206,24.7,LOW,8.5056,10.5983,7328.0,0.3475,0.2836,0.0536,0.0161,0.9058,0.8276,3.8894,1.4081,2.55,13.25,68.69,14.36,0.43,9.7,Service-Dominated,16.2,17.0,"New Hampshire received a DRPI score of 24.7 out of 100 (LOW tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 15 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 8.5 declarations per 12-month window and average per-capita damage of $11. Its Compound Vulnerability Index (CVI) is 0.347 and fiscal capacity stands at $7,328 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +13.2 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (69% service sector share of GDP).","drpi-low, recovery-15mo, instability-moderate, service-dominated, cvi-0.35"
West Virginia,WV,13.3,6.9,19.7,MODERATE,0.24,0.456,0.175,0.128,23.6,LOW,35.4278,15.8852,10463.0,0.2986,0.3404,0.2628,0.0256,0.6562,0.295,5.9839,1.5507,5.02,10.58,48.8,15.86,13.42,15.51,Resource-Intensive,14.4,13.0,"West Virginia received a DRPI score of 23.6 out of 100 (LOW tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 13 months following a major disaster event (90% prediction interval: 7–20 months). The state recorded an average FEMA disaster exposure of 35.4 declarations per 12-month window and average per-capita damage of $16. Its Compound Vulnerability Index (CVI) is 0.299 and fiscal capacity stands at $10,463 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +10.6 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (49% service sector share of GDP).","drpi-low, recovery-13mo, instability-moderate, resource-intensive, cvi-0.30"
Nebraska,NE,11.5,5.1,17.9,LOW,0.716,0.147,0.068,0.069,23.6,LOW,50.0722,135.1745,8581.0,0.3408,0.03,0.3766,0.2417,0.8061,0.4661,3.2722,0.7717,3.2,4.8,55.19,17.96,6.09,11.46,Resource-Intensive,14.4,4.0,"Nebraska received a DRPI score of 23.6 out of 100 (LOW tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 12 months following a major disaster event (90% prediction interval: 5–18 months). The state recorded an average FEMA disaster exposure of 50.1 declarations per 12-month window and average per-capita damage of $135. Its Compound Vulnerability Index (CVI) is 0.341 and fiscal capacity stands at $8,581 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +4.8 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (55% service sector share of GDP).","drpi-low, recovery-12mo, instability-low, resource-intensive, cvi-0.34"
Montana,MT,13.9,7.5,20.3,MODERATE,0.302,0.551,0.089,0.058,22.5,LOW,22.4444,12.1302,9671.0,0.3057,0.3235,0.1619,0.0188,0.7193,0.4843,4.4683,1.5083,3.52,8.28,55.87,13.86,6.96,13.52,Resource-Intensive,14.4,6.0,"Montana received a DRPI score of 22.5 out of 100 (LOW tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 14 months following a major disaster event (90% prediction interval: 8–20 months). The state recorded an average FEMA disaster exposure of 22.4 declarations per 12-month window and average per-capita damage of $12. Its Compound Vulnerability Index (CVI) is 0.306 and fiscal capacity stands at $9,671 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +8.3 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (56% service sector share of GDP).","drpi-low, recovery-14mo, instability-moderate, resource-intensive, cvi-0.31"
North Dakota,ND,13.4,7.0,19.8,LOW,0.855,0.098,0.023,0.024,16.7,LOW,34.55,69.5778,14849.0,0.1614,0.0,0.256,0.1229,0.307,0.1783,2.875,0.6964,2.12,6.28,44.44,15.03,22.64,10.46,Resource-Intensive,14.4,16.0,"North Dakota received a DRPI score of 16.7 out of 100 (LOW tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 13 months following a major disaster event (90% prediction interval: 7–20 months). The state recorded an average FEMA disaster exposure of 34.5 declarations per 12-month window and average per-capita damage of $70. Its Compound Vulnerability Index (CVI) is 0.161 and fiscal capacity stands at $14,849 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +6.3 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (44% service sector share of GDP).","drpi-low, recovery-13mo, instability-low, resource-intensive, cvi-0.16"
