state,abbr,recovery_months_predicted,recovery_months_low,recovery_months_high,instability_tier,prob_LOW,prob_MODERATE,prob_HIGH,prob_CRITICAL,drpi_score,drpi_risk_tier,avg_disaster_exposure_12m,avg_damage_per_capita,fiscal_capacity_per_capita,compound_vulnerability_index,cvi_labor,cvi_disaster,cvi_damage,cvi_fiscal,cvi_structure,avg_unemployment_rate,unemployment_volatility_excl_covid,baseline_unemployment,unemployment_shock_magnitude,service_share_pct,industry_share_pct,natres_share_pct,govt_share_pct,economic_profile,profile_benchmark_months,recovery_months
Alabama,AL,15.5,9.1,21.9,CRITICAL,0.049,0.067,0.208,0.676,44.0,MODERATE,48.1278,69.1766,8926.0,0.4526,0.7633,0.3615,0.1222,0.7786,0.4137,5.5717,2.6119,3.12,9.98,53.23,23.04,1.87,15.74,Industry-Intensive,11.5,12.0
Illinois,IL,18.0,11.6,24.4,CRITICAL,0.012,0.068,0.324,0.597,42.7,MODERATE,29.1222,24.9683,9265.0,0.4151,0.6324,0.2138,0.0421,0.7516,0.7036,6.6778,2.2835,3.88,14.02,64.06,17.29,1.19,9.33,Service-Dominated,16.2,20.0
Colorado,CO,17.0,10.6,23.4,HIGH,0.134,0.18,0.502,0.184,41.1,MODERATE,15.7944,105.1085,7635.0,0.4389,0.6672,0.1103,0.1872,0.8814,0.676,5.0456,2.3706,2.76,8.14,63.03,13.15,4.14,11.51,Resource-Intensive,14.4,24.0
Maine,ME,16.2,9.8,22.6,MODERATE,0.277,0.438,0.179,0.105,39.9,MODERATE,47.9,11.7235,9878.0,0.398,0.5668,0.3597,0.0181,0.7028,0.7178,4.7856,2.1187,2.96,6.24,64.59,14.59,1.33,11.99,Service-Dominated,16.2,5.0
Vermont,VT,19.5,13.1,25.9,MODERATE,0.234,0.424,0.203,0.139,38.5,MODERATE,14.8056,175.9835,13974.0,0.2761,0.2724,0.1026,0.3156,0.3767,0.6463,3.6478,1.3801,2.08,11.92,61.92,13.99,1.74,13.78,Service-Dominated,16.2,18.0
Arizona,AZ,17.3,10.9,23.7,HIGH,0.047,0.154,0.592,0.208,37.7,MODERATE,9.8667,37.0141,8046.0,0.4255,0.6046,0.0642,0.0639,0.8486,0.6701,6.1961,2.2138,4.77,8.43,62.81,16.44,1.87,11.26,Service-Dominated,16.2,16.0
Connecticut,CT,18.5,12.1,24.9,MODERATE,0.29,0.579,0.105,0.026,37.6,MODERATE,9.9833,3.8529,10837.0,0.3635,0.6371,0.0651,0.0038,0.6264,0.8244,5.9133,2.2953,3.64,4.16,68.57,16.28,0.19,9.44,Service-Dominated,16.2,24.0
Massachusetts,MA,19.8,13.4,26.2,MODERATE,0.044,0.43,0.387,0.139,37.0,MODERATE,12.0222,6.4961,11732.0,0.3136,0.3983,0.081,0.0086,0.5552,0.891,5.2917,1.696,3.03,14.17,71.06,13.98,0.17,9.07,Service-Dominated,16.2,24.0
Virginia,VA,14.7,8.3,21.1,LOW,0.427,0.248,0.212,0.112,36.7,MODERATE,68.6833,8.1507,9695.0,0.3823,0.3073,0.5212,0.0116,0.7174,0.6659,4.3917,1.4676,2.7,8.3,62.65,13.66,0.65,17.03,Government-Intensive,18.0,18.0
Delaware,DE,20.6,14.2,27.0,MODERATE,0.115,0.661,0.182,0.042,35.1,MODERATE,1.6,1.7331,13364.0,0.2779,0.3671,0.0,0.0,0.4252,0.9422,5.3678,1.6177,3.7,9.0,72.97,12.21,0.79,9.33,Service-Dominated,16.2,19.0
