state,avg_unemployment_rate,unemployment_volatility,avg_disaster_exposure_12m,max_disaster_exposure_12m,avg_disaster_count_month,total_disaster_months,unemployment_volatility_excl_covid,avg_damage_per_capita,max_damage_per_capita,total_damage_per_capita,years_with_damage,baseline_unemployment,shock_unemployment,recovery_months,unemployment_shock_magnitude,service_share_pct,industry_share_pct,natres_share_pct,tourism_share_pct,govt_share_pct,economic_profile,profile_benchmark_months,fiscal_capacity_per_capita,abbr,cvi_labor,cvi_disaster,cvi_damage,cvi_fiscal,cvi_structure,compound_vulnerability_index
Massachusetts,5.2917,2.2592,12.0222,46.0,1.0056,181.0,1.696,6.4961,47.9976,97.4411,15,3.03,17.2,24.0,14.17,71.06,13.98,0.17,3.79,9.07,Service-Dominated,16.2,11732.0,MA,0.3983,0.081,0.0086,0.5552,0.891,0.3385
Michigan,6.6467,3.2102,15.6833,195.0,1.3111,236.0,2.8508,32.3967,190.1476,485.9502,15,3.96,22.5,19.0,18.54,59.95,22.43,1.09,3.45,10.09,Industry-Intensive,11.5,9216.0,MI,0.8585,0.1094,0.0555,0.7555,0.5936,0.4554
Minnesota,4.3056,1.6857,44.0889,269.0,3.7,666.0,1.5756,13.1893,37.1165,197.8401,15,3.34,8.6,13.0,5.26,63.26,18.48,2.34,3.23,9.5,Service-Dominated,16.2,10982.0,MN,0.3504,0.3301,0.0207,0.6149,0.6822,0.3688
Mississippi,6.4217,2.4158,60.2778,343.0,5.0167,903.0,2.4031,80.688,395.5081,1210.3203,15,5.58,14.8,12.0,9.22,50.55,21.23,2.79,4.61,16.59,Industry-Intensive,11.5,9386.0,MS,0.6801,0.4559,0.143,0.742,0.3419,0.4752
Missouri,5.1783,2.2073,71.0222,333.0,5.8278,1049.0,2.2248,57.4568,584.279,861.8515,15,3.25,10.9,17.0,7.65,62.14,17.63,1.63,4.01,10.95,Service-Dominated,16.2,7438.0,MO,0.6091,0.5393,0.1009,0.8971,0.6522,0.5397
Montana,4.4683,1.6095,22.4444,138.0,1.9167,345.0,1.5083,12.1302,99.0603,181.9527,15,3.52,11.8,6.0,8.28,55.87,13.86,6.96,5.44,13.52,Resource-Intensive,14.4,9671.0,MT,0.3235,0.1619,0.0188,0.7193,0.4843,0.3057
Nebraska,3.2722,0.9065,50.0722,207.0,4.2611,767.0,0.7717,135.1745,349.2707,2027.6168,15,3.2,8.0,4.0,4.8,55.19,17.96,6.09,2.62,11.46,Resource-Intensive,14.4,8581.0,NE,0.03,0.3766,0.2417,0.8061,0.4661,0.3408
Nevada,7.9083,3.9184,9.3389,94.0,0.7944,143.0,3.2059,7.7065,30.38,115.5971,15,4.38,30.1,20.0,25.72,54.92,13.73,2.34,14.78,9.94,Service-Dominated,16.2,8215.0,NV,1.0,0.0601,0.0108,0.8352,0.4589,0.4613
New Hampshire,3.8894,1.825,8.5056,32.0,0.7333,132.0,1.4081,10.5983,47.1908,158.9751,15,2.55,15.8,17.0,13.25,68.69,14.36,0.43,5.22,9.7,Service-Dominated,16.2,7328.0,NH,0.2836,0.0536,0.0161,0.9058,0.8276,0.3475
New Jersey,6.3433,2.6112,18.9167,76.0,1.5611,281.0,2.3403,199.979,2842.5267,2999.6849,15,3.64,14.4,24.0,10.76,69.46,13.42,0.25,3.25,9.79,Service-Dominated,16.2,10907.0,NJ,0.6551,0.1345,0.3591,0.6209,0.8482,0.4896
New Mexico,6.115,1.5152,19.6667,151.0,1.6722,301.0,1.4134,44.604,265.1456,669.0601,15,5.1,8.4,19.0,3.3,48.97,9.61,11.28,4.39,22.88,Resource-Intensive,14.4,18705.0,NM,0.2857,0.1404,0.0776,0.0,0.2996,0.167
New York,6.1489,2.3271,36.1833,155.0,3.0556,550.0,1.906,8.3567,62.2915,125.3502,15,3.95,15.2,24.0,11.25,75.13,8.61,0.23,4.01,10.01,Service-Dominated,16.2,13219.0,NY,0.482,0.2687,0.012,0.4368,1.0,0.4056
North Carolina,6.0578,2.6417,77.3556,456.0,7.2333,1302.0,2.6531,52.0227,241.6051,780.3409,15,3.83,13.8,17.0,9.97,60.33,20.15,0.96,3.61,12.34,Industry-Intensive,11.5,8115.0,NC,0.7797,0.5885,0.0911,0.8432,0.6037,0.5773
North Dakota,2.875,1.0279,34.55,161.0,2.8556,514.0,0.6964,69.5778,280.2099,1043.6666,15,2.12,8.4,16.0,6.28,44.44,15.03,22.64,2.7,10.46,Resource-Intensive,14.4,14849.0,ND,0.0,0.256,0.1229,0.307,0.1783,0.1614
Ohio,5.8872,2.2037,25.8889,209.0,2.1778,392.0,2.0138,9.4236,59.3549,141.3535,15,4.19,15.9,17.0,11.71,61.06,20.22,1.41,3.45,10.35,Industry-Intensive,11.5,8437.0,OH,0.525,0.1887,0.0139,0.8175,0.6233,0.3973
Oklahoma,4.3856,1.3541,79.5056,423.0,6.6556,1198.0,1.0944,73.4032,657.8431,1101.0482,15,3.12,12.1,17.0,8.98,48.3,14.58,11.87,3.64,16.01,Resource-Intensive,14.4,8839.0,OK,0.1586,0.6052,0.1298,0.7855,0.2817,0.377
Oregon,5.9872,2.4287,17.8944,139.0,1.55,279.0,2.4084,64.5333,879.1561,967.9993,15,3.6,13.3,18.0,9.7,59.51,18.61,1.9,4.14,12.79,Service-Dominated,16.2,11456.0,OR,0.6822,0.1266,0.1137,0.5771,0.5818,0.3988
Pennsylvania,5.8044,1.9293,28.5556,134.0,2.4278,437.0,1.6157,6.2017,31.0239,93.0249,15,4.36,15.1,18.0,10.74,64.81,16.72,2.05,3.42,9.14,Service-Dominated,16.2,9676.0,PA,0.3663,0.2094,0.0081,0.7189,0.7237,0.3619
Rhode Island,6.6011,3.2305,4.8556,14.0,0.4111,74.0,3.1285,6.9197,83.5175,103.795,15,3.51,17.5,19.0,13.99,66.64,13.02,0.3,5.08,13.17,Service-Dominated,16.2,11261.0,RI,0.9692,0.0253,0.0094,0.5927,0.7727,0.4553
South Carolina,5.7078,2.7241,49.85,173.0,4.65,837.0,2.7994,25.2693,154.3982,379.0395,15,2.72,11.0,19.0,8.28,56.45,21.32,0.74,4.71,14.1,Industry-Intensive,11.5,8980.0,SC,0.838,0.3749,0.0426,0.7743,0.4999,0.5029
South Dakota,3.1539,1.1063,48.75,409.0,4.1111,740.0,1.0183,166.5806,1207.1842,2498.7083,15,2.65,8.8,6.0,6.15,61.11,13.41,8.84,3.81,10.49,Resource-Intensive,14.4,7513.0,SD,0.1283,0.3663,0.2986,0.8911,0.6246,0.4107
Tennessee,5.5911,2.454,50.1611,235.0,4.2556,766.0,2.3572,75.9428,378.7933,1139.1413,15,3.37,15.0,17.0,11.63,60.1,18.37,0.7,5.75,10.13,Service-Dominated,16.2,7012.0,TN,0.6618,0.3773,0.1344,0.931,0.5976,0.5159
Texas,5.3861,1.7879,130.3167,1122.0,11.1833,2013.0,1.6038,200.8941,1883.023,3013.4114,15,3.62,12.3,20.0,8.68,56.87,18.07,8.32,3.28,9.71,Resource-Intensive,14.4,6894.0,TX,0.3616,1.0,0.3607,0.9404,0.5111,0.6303
Utah,3.9544,1.8015,9.0056,82.0,0.75,135.0,1.7856,9.0338,36.1979,135.5068,15,2.49,9.8,13.0,7.31,60.32,19.87,2.27,3.32,10.85,Service-Dominated,16.2,9472.0,UT,0.434,0.0575,0.0132,0.7351,0.6035,0.3263
Vermont,3.6478,1.6712,14.8056,46.0,1.3333,240.0,1.3801,175.9835,2201.7368,2639.752,15,2.08,14.0,18.0,11.92,61.92,13.99,1.74,6.86,13.78,Service-Dominated,16.2,13974.0,VT,0.2724,0.1026,0.3156,0.3767,0.6463,0.3103
Virginia,4.3917,1.6742,68.6833,276.0,5.9056,1063.0,1.4676,8.1507,46.6223,122.2611,15,2.7,11.0,18.0,8.3,62.65,13.66,0.65,3.36,17.03,Government-Intensive,18.0,9695.0,VA,0.3073,0.5212,0.0116,0.7174,0.6659,0.4169
Washington,6.0711,2.2936,28.8111,148.0,2.4111,434.0,2.075,28.446,178.4763,426.6907,15,4.12,16.5,17.0,12.38,67.06,13.66,1.27,3.39,11.79,Service-Dominated,16.2,9454.0,WA,0.5494,0.2114,0.0484,0.7365,0.7839,0.4279
West Virginia,5.9839,1.7957,35.4278,189.0,2.9889,538.0,1.5507,15.8852,93.4605,238.2785,15,5.02,15.6,13.0,10.58,48.8,15.86,13.42,3.58,15.51,Resource-Intensive,14.4,10463.0,WV,0.3404,0.2628,0.0256,0.6562,0.295,0.2986
Wisconsin,4.7739,2.1416,18.3333,190.0,1.5278,275.0,2.0392,10.572,32.2185,158.5799,15,3.22,14.0,16.0,10.78,58.23,22.83,1.79,3.42,10.46,Industry-Intensive,11.5,8762.0,WI,0.5351,0.13,0.016,0.7916,0.5475,0.3703
Wyoming,4.6122,1.2567,6.1611,51.0,0.5333,96.0,1.2262,21.8678,112.5093,328.0163,15,4.02,4.9,15.0,0.88,37.78,15.71,18.35,4.6,15.43,Resource-Intensive,14.4,13516.0,WY,0.2111,0.0354,0.0365,0.4131,0.0,0.1309
