state,damage_per_capita
LOUISIANA,1200.4399779812986
HAWAII,789.1173578676872
FLORIDA,225.5765645148073
SOUTH DAKOTA,194.2348485764461
OREGON,178.15463385281288
NEBRASKA,121.08623378306397
COLORADO,88.42048014776678
NEW MEXICO,74.55239137642141
TENNESSEE,66.4318706296975
WASHINGTON,64.83886984343674
TEXAS,61.45405316973144
VERMONT,60.76103457450741
MISSISSIPPI,57.63012296956532
GEORGIA,52.581989643727
NORTH CAROLINA,50.65572081363069
